Dataset,Modelo,MSE,MAE,MAPE
Treinamento,Random Forest,464192632.59971845,11459.430461743686,0.14621106920656507
Treinamento,Baseline,1435472914.4105058,23453.649105793455,0.2254625696496725
Teste,Random Forest,1673557648.2980587,26610.87683782913,0.27253180569054863
Teste,Baseline,1424502412.4712837,23946.27349075957,0.2628620640729854
